id,X1,X2,X3,X4,X5,X6,X7,X8,X9
1,0.0833333333333333,0,0,0,0.0555555555555556,0.111111111111111,0,0.166666666666667,0.583333333333333
2,0.000878734622144112,0.916520210896309,0.0553602811950791,0.0246045694200351,0,0.000878734622144112,0.000878734622144112,0,0.000878734622144112
4,0.00888888888888889,0.546666666666667,0.204444444444444,0.0844444444444444,0.00888888888888889,0.0577777777777778,0.0666666666666667,0.0222222222222222,0
5,0,0,0,0,0,0.722222222222222,0,0.0555555555555556,0.222222222222222
7,0,0,0,0,0,1,0,0,0
12,0.00490196078431373,0.156862745098039,0.0686274509803922,0.661764705882353,0,0.0441176470588235,0.0588235294117647,0,0.00490196078431373
16,0.0154798761609907,0.582043343653251,0.325077399380805,0.0154798761609907,0,0.0123839009287926,0.0154798761609907,0.0123839009287926,0.021671826625387
17,0,0,0,0,0,0.1,0,0.9,0
18,0.00380021715526602,0.513029315960912,0.349619978284473,0.0966340933767644,0.000542888165038002,0.00217155266015201,0.0233441910966341,0.00271444082519001,0.00814332247557003
22,0.131034482758621,0.00689655172413793,0,0,0,0.0137931034482759,0,0.00689655172413793,0.841379310344828
24,0.4,0,0,0,0,0,0.1,0.1,0.4
29,0.691489361702128,0,0,0,0,0.0372340425531915,0.0372340425531915,0.0265957446808511,0.207446808510638
31,0.000878734622144112,0.916520210896309,0.0553602811950791,0.0246045694200351,0,0.000878734622144112,0.000878734622144112,0,0.000878734622144112
40,0.0043010752688172,0,0,0,0,0.00645161290322581,0.00537634408602151,0.978494623655914,0.00537634408602151
43,0,0,0,0,0,1,0,0,0
52,0,0.2,0.2,0.5,0,0,0,0.1,0
54,0.0129310344827586,0.443965517241379,0.396551724137931,0.0818965517241379,0,0.0258620689655172,0.0344827586206897,0.00431034482758621,0
56,0,0,0,0,0,1,0,0,0
65,0,0,0,0,0,1,0,0,0
66,0,0,0.153846153846154,0,0,0,0.692307692307692,0.153846153846154,0
69,0.00555555555555556,0.00277777777777778,0,0.0416666666666667,0,0.922222222222222,0,0.00277777777777778,0.025
70,0.0170940170940171,0.504273504273504,0.341880341880342,0.0427350427350427,0,0.00854700854700855,0.0256410256410256,0.0170940170940171,0.0427350427350427
77,0,0,0,0,0,0.352941176470588,0.588235294117647,0.0588235294117647,0
80,0.00658895083628991,0,0,0.00253421186011151,0,0.981753674607197,0.00304105423213381,0.00304105423213381,0.00304105423213381
81,0,0.694960212201592,0.283819628647215,0,0,0.0026525198938992,0.0106100795755968,0.00795755968169761,0
85,0.00380021715526602,0.513029315960912,0.349619978284473,0.0966340933767644,0.000542888165038002,0.00217155266015201,0.0233441910966341,0.00271444082519001,0.00814332247557003
86,0,0.584905660377358,0.226415094339623,0.0377358490566038,0,0.0188679245283019,0.0566037735849057,0.0754716981132075,0
89,0,0.5,0.222222222222222,0.0555555555555556,0,0,0,0.222222222222222,0
90,0.0601503759398496,0.548872180451128,0.105263157894737,0.0075187969924812,0,0.0225563909774436,0.0451127819548872,0.0225563909774436,0.18796992481203
93,0,0.0735294117647059,0.0294117647058824,0.882352941176471,0,0.0147058823529412,0,0,0
94,0,0,0,0,0,1,0,0,0
100,0,0,0,0,0,1,0,0,0
107,0.00658895083628991,0,0,0.00253421186011151,0,0.981753674607197,0.00304105423213381,0.00304105423213381,0.00304105423213381
110,0,0,0,0,0,1,0,0,0
112,0.0043010752688172,0,0,0,0,0.00645161290322581,0.00537634408602151,0.978494623655914,0.00537634408602151
114,0,0,0,0,0,1,0,0,0
120,0.0178571428571429,0.0178571428571429,0.00446428571428571,0,0.00446428571428571,0,0,0.0133928571428571,0.941964285714286
123,0.119047619047619,0,0,0,0,0,0,0.738095238095238,0.142857142857143
127,0.00775193798449612,0,0,0,0,0.0155038759689922,0.0232558139534884,0.0155038759689922,0.937984496124031
128,0.000878734622144112,0.916520210896309,0.0553602811950791,0.0246045694200351,0,0.000878734622144112,0.000878734622144112,0,0.000878734622144112
137,0,0,0,0,0,0.0833333333333333,0,0.916666666666667,0
140,0.0043010752688172,0,0,0,0,0.00645161290322581,0.00537634408602151,0.978494623655914,0.00537634408602151
142,0,0,0,0,0,0.666666666666667,0.111111111111111,0,0.222222222222222
143,0.000878734622144112,0.916520210896309,0.0553602811950791,0.0246045694200351,0,0.000878734622144112,0.000878734622144112,0,0.000878734622144112
148,0.00727650727650728,0.442827442827443,0.35966735966736,0.12993762993763,0.0051975051975052,0,0.0488565488565489,0.0051975051975052,0.00103950103950104
149,0.00380021715526602,0.513029315960912,0.349619978284473,0.0966340933767644,0.000542888165038002,0.00217155266015201,0.0233441910966341,0.00271444082519001,0.00814332247557003
150,0.000931098696461825,0.838919925512104,0.108938547486034,0.0446927374301676,0.00279329608938547,0,0.00186219739292365,0.00186219739292365,0
152,0.0116618075801749,0.75801749271137,0.0962099125364431,0.0524781341107872,0,0.0379008746355685,0.0087463556851312,0.00583090379008746,0.0291545189504373
160,0,0,0.0222222222222222,0,0,0,0.0222222222222222,0.955555555555556,0
161,0,0.376528117359413,0.504889975550122,0.111246943765281,0,0,0.00733496332518337,0,0
167,0,0.72107765451664,0.210776545166403,0.063391442155309,0,0,0.00316957210776545,0,0.00158478605388273
170,0,0.17910447761194,0.791044776119403,0,0,0,0.0149253731343284,0.0149253731343284,0
172,0,0,0,0,0,0,0.4,0.4,0.2
173,0,0.816720257234727,0.157556270096463,0.0257234726688103,0,0,0,0,0
174,0,0.384615384615385,0.453846153846154,0.0538461538461538,0,0,0.00769230769230769,0,0.1
